code name,name ,gen info,lifecycle,care difficulty,how to plant,watering,seasons,warnings,sunlight,soil,website link,citation
alpineseaholly,alpine sea holly,deadheading,,minimal care needed,,"not necessary, only during droughts",july-august,,full sun,"moist soil, good drainage, prefers sandy soil, tolerates poor soil conditions and drought, ",https://www.gardeningknowhow.com/ornamental/flowers/sea-holly/sea-holly-flowers.htm,"“Sea Holly Plant Care: How To Grow A Sea Holly Plant,” Gardening Know How. [Online]. Available: https://www.gardeningknowhow.com/ornamental/flowers/sea-holly/sea-holly-flowers.htm. [Accessed: 11-Apr-2019]."
anthurium,anthurium,"entire plant is poisonous, ingestion can cause stomac issues, touching can cause skin irritation",,,"Anthuriums should be planted in raised beds of 1.3 to 2 meters wide and 20 cm deep. Anthuriums should not be planted more than 5 cm deep, as deep planting results in the rotting of stems and roots. Stake the anthurium after planting for support. Water the anthuriums immediately after planting.","water thoroughly, let slightly dry between waterings, over watering can cause root damagage or yellowing of leaves",,,need high light but not direct sunlight,"wide range from sandy loams to heavy clays, need good water retention and drainage",https://www.theflowerexpert.com/content/aboutflowers/exoticflowers/anthuriums,"“Anthurium Flower Facts, Growing & Caring Anthuriums Plant,” The Flower Expert. [Online]. Available: https://www.theflowerexpert.com/content/aboutflowers/exoticflowers/anthuriums. [Accessed: 11-Apr-2019]."
artichoke,artichoke,"for best flavor, harvest when the buds are still tightly closed. Or you can wait until they bloom for flower arrangements",,,best planted form bare-root stock or divisions.,water heavily,"plant fall, harvest spring",,full sun,"sandy, well-drained soil",https://garden.org/plants/group/artichokes/,"“Artichokes: Plant Care and Collection of Varieties,” Artichokes: Plant Care and Collection of Varieties - Garden.org. [Online]. Available: https://garden.org/plants/group/artichokes/. [Accessed: 11-Apr-2019]."
azalea,azalea,,,little maintenance once planted,,,spring bloom,,partial shade,well drained,https://www.proflowers.com/blog/types-of-flowers?fbclid=IwAR0DuO9vrtw2dBmaiVCdDjCUMcRl_nzNtIHrzwhA_1I0jK4eOORIaAUYOiE,"“151 Types of Flowers Images and Growing Tips | Care Guide,” ProFlowers Blog, 18-Mar-2019. [Online]. Available: https://www.proflowers.com/blog/types-of-flowers?fbclid=IwAR0DuO9vrtw2dBmaiVCdDjCUMcRl_nzNtIHrzwhA_1I0jK4eOORIaAUYOiE. [Accessed: 11-Apr-2019]."
ballmoss,ball moss,,,,propagate by seed or division of balls,"30min-1hr once a week during active growing season, water sparingly during winter",,,"bright filtered light indoors, avoid direct midday sun outdoors",,http://www.plantsrescue.com/tag/ball-moss/,"“Plants & Flowers,” Plants & Flowers » Ball Moss. [Online]. Available: http://www.plantsrescue.com/tag/ball-moss/. [Accessed: 11-Apr-2019]."
balloonflower,balloon flower,deer resistent,,resilient ,,,blooms in summer,,full sun/partial shade,well drained,https://www.proflowers.com/blog/types-of-flowers?fbclid=IwAR0DuO9vrtw2dBmaiVCdDjCUMcRl_nzNtIHrzwhA_1I0jK4eOORIaAUYOiE,"“151 Types of Flowers Images and Growing Tips | Care Guide,” ProFlowers Blog, 18-Mar-2019. [Online]. Available: https://www.proflowers.com/blog/types-of-flowers?fbclid=IwAR0DuO9vrtw2dBmaiVCdDjCUMcRl_nzNtIHrzwhA_1I0jK4eOORIaAUYOiE. [Accessed: 11-Apr-2019]."
barbetondaisy,barbeton daisy,Native to South Africa this species is a perennial in warmer climates but in cooler countries (temperate regions) it's grown as an annual and flowering pot plant. There are many varieties and hybrids sold that are more compact in growth than the basic type. The basic type has stalks which grow up to 2ft tall that can become quite lanky and unattractive.,"perennial, often grown as annuals",easy,These are mostly propagated with seeds although the parent plant can also be divided or root cuttings can be used., keep the soil moist at all times. Once the soil becomes slightly dry to the touch provide water straight away or the plant will begin to wilt very quickly.,blooms in summer,,full sun,A peat based potting mix with 2 parts peat and 1 part perlite is suggested.,https://www.houseplantsexpert.com/barberton-daisy.html,"“Barberton Daisy - Gerbera Jamesonii - Indoor Care and Description,” House Plants Expert. [Online]. Available: https://www.houseplantsexpert.com/barberton-daisy.html. [Accessed: 11-Apr-2019]."
beardediris,bearded iris,"non-aggressive
non-invasive
not native to North America - Product of horticultural selection",perennial,easy,"Propagate by division or separation - Divide in midsummer. Replant only rhizomes that appear strong and healthy, discard others. Cut the healthy rhizomes into pieces with one foliage fan each, cutting the foliage back to only 6” in height. Allow the cut rhizomes to cure overnight, then replant them in well-worked soil.","Keep moist but not soggy while blooming, then keep the soil very dry after flowering has finished and the foliage has faded. Remove faded foliage and blooms to prevent disease.",mid-late spring,,"full sun, partial shade","well drained, fertile soil",http://www.gardening.cornell.edu/homegardening/scenefc80.html,"“Iris, Bearded (medium height),” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenefc80.html. [Accessed: 11-Apr-2019]."
beebalm,bee balm,"aggressive - Can spread by underground rhizomes. non-invasive native to North America - Native to rich, moist woodlands from Ontario to Georgia and west to Illinois. fragrant - Flowers are lightly scented. Leaves, stems, and roots carry a delicious aromatic orange-like perfume when crushed.",perennial,easy,"Propagate by seed, cuttings, division or separation - Plant seeds in containers in cold frame. Seeds germinate in 10 to 40 days.

Take basal softwood cuttings with plenty of underground stem in spring. Pot individually and keep in light shade in a cold frame or greenhouse until well rooted, then plant out.

Divide clumps of the spreading root system every 2 or 3 years in early spring before growth begins. Plant the large clumps directly into a sunny moist location. Pot small divisions and grow in light shade in a cold frame until well established before planting out.","Needs continuous moisture in summer, but protection from excessive moisture in winter.","bloom mid-
late summer
",,"full sun, partial shade",requires damp soil tolerates low fertility. ,http://www.gardening.cornell.edu/homegardening/scene13fe.html,"“Bee balm,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene13fe.html. [Accessed: 11-Apr-2019]."
birdofparadise,bird of paradise,"There are five Strelitzia species, but only two are grown as indoor plants: Strelitzia reginae (the orange bird of paradise) and Strelitzia nicolai (the white bird of paradise). These plants grow with upright leaves emerging directly from the soil; there is no trunk. The large leaves range between 12 and 18 inches long, and they can shred when exposed to windy conditions or when brushed in a busy hallway.",perrenial,easier than many tropical platns,"Bird of paradise is easy to propagate by division of the underground rhizome when you repot it. Separate a shoot with at least three leaves. It can be grown from seed, but division is easier. It can take months for the seeds to germinate. Divide infrequently because crowded clumps produce the most blooms.","Keep the soil continually moist throughout the year. You don't want it to be waterlogged, but you can expect to need to water it daily in the spring and summer as it loses moisture through its big leaves. Bird of paradise prefers high humidity and you might want to keep a spray bottle handy to mist it if your home is dry. If overwatered the plant will develop crunchy brown leaves. If underwatered the leaves farthest from the center will turn yellow.",blooms late winter to early spring,"Monitor the plant for aphids, scale, and mites. Bird of paradise is also susceptible to Botrytis cinerea (gray mold). Flowers and leaves with this condition will develop dark spots and then a layer of gray mold. Remove the affected parts of the plant and give your plant regular airing. ","full sun, but shielding from midday summer sun"," rich, well-drained potting mix.",https://www.thespruce.com/how-to-grow-strelitzia-1902742,"J. VanZile, “Grow the Beautiful Tropical Bird of Paradise Plant With These Tips,” The Spruce, 17-Jan-2019. [Online]. Available: https://www.thespruce.com/how-to-grow-strelitzia-1902742. [Accessed: 11-Apr-2019]."
bishopofllandaff,bishop of llandaff,"With its deep purple-black leaves and brilliant summer blooms, ‘Bishop of Llandaff’ is a fine addition to the sunny bed or border. The 4- to 6-inch-round red-petaled flowers have deep purple and yellow centers, which are set off nicely by the plant’s dark foliage. Use this long-stemmed cultivar in cut-flower arrangements.",perrenial,,Division in spring is preferred. Use a sharp knife to sever tubers ensuring that each division has at least one eye.,"Do not water until growth appears above the ground; once plants are established, a deep watering twice a week will get them through summer dry periods",blooms summer to fall,,full sun,"rich, well-drained soil",https://www.finegardening.com/plant/dahlia-dahlia-bishop-llandaff  https://www.whiteflowerfarm.com/40884-product.html#!growguide,"“'Bishop of Llandaff' Dahlia,” FineGardening. [Online]. Available: https://www.finegardening.com/plant/dahlia-dahlia-bishop-llandaff. [Accessed: 11-Apr-2019].   “Dahlia 'Bishop of Llandaff',” White Flower Farm. [Online]. Available: https://www.whiteflowerfarm.com/40884-product.html#!growguide. [Accessed: 11-Apr-2019]."
blackberrylily,blackberry lily,"on-aggressive
non-invasive
not native to North America - Asia
bears ornamental fruit - The plants bear oval seed pods which open in the fall to reveal a row of berry-like, shiny black seeds.",perrenial,easy,"Propagate by seed, division or separation - Divide in the early spring.

Sow seeds in autumn or spring. Pre-chilling the seeds may aid germination. Self-seeds readily, but unwanted seedlings are easy to remove.

Days to emergence: 21",,blooms mid-late summer,,"full sun, partial shade",well drained,http://www.gardening.cornell.edu/homegardening/scenebb97.html,"“Blackberry Lily,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenebb97.html. [Accessed: 11-Apr-2019]."
blackeyedsusan,black-eyed susan,"Black-eyed Susans (Rudbeckia hirta) are native to North America and one of the most popular wildflowers grown. They tend to blanket open fields, often surprising the passerby with their golden-yellow beauty.",perrenial,,"Sow by seeds. Plant black-eyed Susans when the soil temperature has reached 70°F for best seed germination. In many parts of North America, the planting period is March to May. The flower will flower June to September. Germination takes 7 to 30 days.",Check your plants regularly to see if they need watering. Make sure they don’t dry out.,blooms summer and fall,,"full sun, part sun","Plant seeds in moist, well-drained soil.",https://www.almanac.com/plant/black-eyed-susans,"“Black-eyed Susans,” Old Farmer's Almanac. [Online]. Available: https://www.almanac.com/plant/black-eyed-susans. [Accessed: 11-Apr-2019]."
blanketflower,blanket flower,"Produced above a clump of hairy, narrow, gray-green leaves, the blossoms of perennial blanket flower have petals that may be solid colored shades of yellow, wine red , orange or peach, or may be banded in combinations of red or orange with yellow. The petals of some are frilled, while others have a unique, tubular shape. Sizes range from 10-12 inch high dwarfs to selections as tall as 24-30 inches. All are easy care plants with few insect or disease problems and most are hardy in zones 3-9.",perrenial,,"Container grown plants can be set out throughout the growing season, but spring or fall planting is ideal. Space dwarf cultivars about a foot apart; taller varieties should be set about 18 inches apart. Prepare the garden bed by using a garden fork or tiller to loosen the soil to a depth of 12 to 15 inches, then mix in a 2- to 4-inch layer of compost. Dig a hole twice the diameter of the pot the plant is in. Carefully remove the plant from its container and place it in the hole so the top of the root ball is level with the soil surface. Carefully fill in around the root ball and firm the soil gently. Water thoroughly.",Water newly set out or divided plants regularly until they become established. ,blooms early summer to early fall,,full sun,"very well-drained soil, prefer loose, sandy soil that isn't overly fertile with a pH near neutral or slightly alkaline. ",https://garden.org/plants/group/blanketflowers/,"“Blanket Flowers: Plant Care and Collection of Varieties,” Blanket Flowers: Plant Care and Collection of Varieties - Garden.org. [Online]. Available: https://garden.org/plants/group/blanketflowers/. [Accessed: 11-Apr-2019]."
bolerodeepblue,bolero deep blue,,,,,,,,,,,
bougainvillea,bougainvillea,"The Bougainvillea is an immensely showy, floriferous and hardy plant. Virtually pest-free and disease resistant, it rewards its owner with an abundance of color and vitality when it is well looked after. The bougainvillea’s versatility is legendary. It can be coaxed into a small manageable pot plant or a sizeable tree, to spread itself vertically on a wall, or climb up a trellis and form a luscious crown or burst forth into graceful arches. It makes one of the best hedges, bushes, and curb-liners.",perrenial,,"Generally, bougainvillea can be grown in anything that will hold soil and allow proper drainage. Some of the more traditionally used containers include terra cotta (clay) pots, plastic pots, hanging baskets, wire baskets lined with sphagnum moss or fibrous liners, concrete planters, planter boxes, and bushel baskets. ",,blooms fall to spring (depening on climate),,full sun,well-drained soils,https://www.bgi-usa.com/bougainvillea-101/,"“Bougainvillea 101 | Bougainvillea Plant Care & Fertilizer,” BGI Premium Plant Foods, 06-Oct-2017. [Online]. Available: https://www.bgi-usa.com/bougainvillea-101/. [Accessed: 11-Apr-2019]."
bromelia,bromelia,,perrenial,,,"Bromeliads are adapted to withstand drought, but are much less tolerant of being over-watered which can cause root rot. It is important that your bromeliad is planted in a medium that allows for fast drainage.  Each time you water the potting medium, thoroughly soak it so that the water runs from the drainage holes",,,full sun,potting mixes specially formulated for bromeliads or mix your own using porous materials.,http://www.bromeliads.info/general-indoor-outdoor-bromeliad-care/,
buttercup,buttercup,"Buttercup flowers are members of the Ranunculus genus, a large family (about 400 species) of flowers. These bright, yellow, five-petaled summer bloomers, are native to Asia, Australia, Central America, North America and Europe.",perrenial,easy,Buttercups grow from seed or roots. The seed is difficult to germinate and takes weeks to sprout. Most people grow these plants from division of the roots.  Divide plants in spring or fall. ,Water established plants during dry periods and droughts.,,,"full sun, part shade","light soil that drains well, prefers rich soil",http://www.gardenersnet.com/flower/buttercup.htm,
californianpoppy,californian poppy,"deer resistant
non-aggressive
non-invasive
native to North America - North America",annual,easy,"Propagate by seed - This plant does not transplant well and should be grown from seeds scattered outdoors in the spring when the soil becomes workable. Scatter the seeds where the plants are desired for summer bloom. This plant may seem like it is a perennial, coming back in the same place every year due to self-seeding. However, self-seeding may not produce plants identical to the initial planted variety.",,blooms summer and fall,,full sun,"tolerates droughty soil
requires well-drained soil
requires high fertility
Thrives in dry, sandy areas, and will stand up well to heat.",http://www.gardening.cornell.edu/homegardening/scene43bf-2.html,"“California Poppy,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene43bf-2.html. [Accessed: 11-Apr-2019]."
camellia,camellia,,,,,,,,,,,
cannalily,canna lily,non-aggressive non-invasive not native to North America - Product of horticultural selection. Parents native to tropical areas of Asia and the Americas.,annual,moderately difficult,"Propagate by division or separation - Divide the rhizomes when planting after danger of frost has passed in spring. Each segment should have a strong, healthy ""eye.""",Keep watered but not soggy., blooms summer and fall,,full sun,"requires well-drained soilPrefer fertile, moist but well-drained soil.",http://www.gardening.cornell.edu/homegardening/scene0750.html,"""Canna Lily,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene0750.html. [Accessed: 11-Apr-2019]."
canterburybells,canterbury bells,"non-aggressive
non-invasive
not native to North America - Europe",biennial,moderately difficult,"Propagate by seed - Start seeds outdoors in late spring or early summer in a nursery area of the garden. Thin and grow for the summer in the holding area, overwinter, and transplant into the flower garden the following spring.

",,blooms late spring - mid summer,,"full sun, partial shade","requires well-drained soil, prefer moist soil and cool weather with low humidity.",http://www.gardening.cornell.edu/homegardening/sceneab8a.html,"""Canterbury Bells,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/sceneab8a.html. [Accessed: 11-Apr-2019]."
capeflower,cape flower,,,,,,,,,,,
carnation,carnation,,,,,,,,,,,
cautleyaspicata,cautleya spicata,,,,,,,,,,,
clematis,clematis,,,,,,,,,,,
coltsfoot,colt's foot,,,,,,,,,,,
columbine,columbine,"deer resistant
aggressive - Self-seeds if not deadheaded.
non-invasive
not native to North America - Product of horticultural selection.",perennial,easy,"Propagate by seed, division or separation - Grow only from purchased, labelled seed, as most hybrids do not come true from home-raised seed. Divide carefully in spring. Plants don't like to be disturbed and may take a long time to recover.",Provide constant moisture in full sun without waterlogging the soil.,blooms mid spring-early summer,,"full sun, partial shade","requires well-drained soil, prefers rich, moist but well-drained soil.",http://www.gardening.cornell.edu/homegardening/scene37a5.html,"""Columbine, Hybrid,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene37a5.html. [Accessed: 11-Apr-2019]."
commondandelion,common dandelion,,,,,,,,,,,
cornpoppy,corn poppy,,,,,,,,,,,
cyclamen,cyclamen,non-aggressive non-invasive not native to North America - Native to Asia Minor and Southeastern Europe,perennial,easy,"Propagate by seed, division or separation - Soak seeds for 12 hours before planting. Sow the seeds in late spring for next year's flowering. Plant tubers (actually enlarged hypocotyls) in late summer or early fall.",,blooms early spring,,part shade,"requires well-drained soilPrefers rich, moist but well-drained soil",http://www.gardening.cornell.edu/homegardening/scene5622.html,"""Cyclamen, Hardy,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene5622.html. [Accessed: 11-Apr-2019]."
daffodil,daffodil,deer resistant non-aggressive non-invasive not native to North America - Product of horticultural selection. fragrant - Some cultivars have sweetly scented blooms.,perennial,easy,"Propagate by division or separation - Plants the bulbs 5"" deep. Divide after flowering or in the fall.",,blooms early to late spring,,full sun,requires well-drained soilPrefers moist but well-drained soil.,http://www.gardening.cornell.edu/homegardening/scene469a.html,
desertrose,desert rose,,,,,,,,,,,
englishmarigold,english marigold,,,,,,,,,,,
firelily,fire lily,,,,,,,,,,,
