 ,name ,gen info,lifecycle,care difficulty,how to plant,watering,seasons,warnings,sunlight,soil,website link,citation
gazania,Gazania,"Also known as African Daisy, Treasure Flower, the unreal, vividly colored flowers of this South African plant bring a touch of the exotic to the garden. Excellent for sun-baked sites with dry soil.",Annual ,Easy,"Propagate by seed, cuttings. Start the seeds indoors 6 to 8 weeks before the last spring frost date, or scatter the seeds where desired outdoors after frost danger has passed. Cover the seeds lightly, as darkness aids germination. Make basal cuttings in late summer or early fall.",,Blooms Early Summer to Early Fall,,They require full sun.,"They require well-drained soil and prefer sandy, well drained soil and are best in hot weather. They tolerate droughty soil and low fertility
",http://www.gardening.cornell.edu/homegardening/scene5877.html,"""Gazania,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene5877.html. [Accessed: 11-Apr-2019]."
geranium,Geranium,"Also known as Zonal Geranium, Bedding Geranium, these annuals come in a wide range of bold colors that grab attention over long distances. They are the standard for containers or untended, hot, sunny spots where you want a long season of color. Readily available at retail outlets.",Annual ,Easy,"Propagate by seed, cuttings. Geraniums can be grown from barerooted plants salvaged from the garden before the first killing frost. Remove the plants from the soil and shake excess soil from their roots. Place them in a cool, dry place where they will not freeze, and keep their roots marginally moist. Wrapping them with slightly moistened peat moss works well. In spring, 6 to 8 weeks before the last frost, cut the plant stems and roots back (roots to about 6” long), soak them overnight in slightly warmed water, and pot them for growth, placing the pots in a sunny location. Water only when new growth appears. Plant outside after frost danger has passed.

Propagate geraniums from stem cuttings taken in late summer to early fall. Some hybrids are patented, so be sure to heed any warnings and follow all laws concerning their propagation.

Geraniums may also be grown from seed, which should be sown indoors 4 months before the last spring frost date.",,Blooms Late Spring to Early Fall,,They require full sun or partial shade.,"They require well-drained soil and prefers slightly acidic soil. They tolerate droughty soil. They do poorly in clay soil. They need regular watering and fertilization for optimum performance, but will tolerate long dry spells.",http://www.gardening.cornell.edu/homegardening/scene5582.html,"""Geranium, Common,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene5582.html. [Accessed: 11-Apr-2019]."
giantwhitearumlily,Giant White Arum Lily,,,,,,,,,,,
globeflower,Globe Flower,,,,,,,,,,,
globethistle,Globe Thistle,"This tall upright perennial's steely purple-blue, spherical flowerheads and spiny leaves command attention, even from the back of the border. Flowerheads attract bees and make great cut- and dried-flowers arrangements, too.",Perennial,Easy,"Propagate by seed, division or separation. Self-seeds readily. Sow seed in beds in mid-spring.

Do not divide plants until they are at least 3 years old and basal plantlets are visible. Divide in spring. Cut the roots back to about 8” in length.",,Blooms Mid Summer to Early Fall,,They require full sun.,"They require well-drained soil and perform well in hot, dry climates. They tolerate droughty soil.",http://www.gardening.cornell.edu/homegardening/scenebb82.html,"""Globe Thistle,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenebb82.html. [Accessed: 11-Apr-2019]."
grapehyacinth,Grape Hyacinth,"Also known as Grape Hyacinth, Armenian Grape Hyacinths spread rapidly to form dense drifts of pale blue flower spikes that flower in mid- to late spring. Blooms have a grape-like aroma.",Perennial,Easy,"Propagate by division or separation. Plant the bulbs in fall so that their tops are 2"" below the soil surface. Divide the bulbs in the late summer or fall.",,Blooms Mid to Late Spring,,They require full sun.,They require well-drained soil.,http://www.gardening.cornell.edu/homegardening/scene4971.html,"""Hyacinth, Armenian Grape,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene4971.html. [Accessed: 11-Apr-2019]."
greatmasterwort,Great Masterwort,,,,,,,,,,,
hardleavedpocketorchid,Hard-leaved Pocket Orchid,,,,,,,,,,,
hibiscus,Hibiscus,,,,,,,,,,,
hippeastrum,Hippeastrum,,,,,,,,,,,
japaneseanemone,Japanese Anemone,"Also known as Hybrid Anemone, this delicate-looking perennial is a reliable late-summer to mid-fall bloomer, producing masses of dainty white to pink to rose blooms rising above attractively lobed medium green foliage. Flowers may be single, double, or semi-double.",Perennial,Moderately Difficult,"Propagate by cuttings, division or separation. Take root sections when the plant is dormant and place vertically in loose propagation medium in flats placed in a cold frame. Divide the plant as desired in the spring. Fall division is usually unsuccessful.",Water them during summer dry spells. Plants do not tolerate drought well.,Blooms Late Summer to Mid Fall,,They require full sun or partial shade.,They require well-drained soil and high fertility. They tolerate acid soil.,http://www.gardening.cornell.edu/homegardening/scene84eb.html,"""Anemone, Japanese,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene84eb.html. [Accessed: 11-Apr-2019]."
kingprotea,King Protea,,,,,,,,,,,
lentenrose,Lenten Rose,,,,,,,,,,,
lotus,Lotus,,,,,,,,,,,
loveinthemist,Love in the Mist,,,,,,,,,,,
magnolia,Magnolia,,,,,,,,,,,
mallow,Mallow,,,,,,,,,,,
marigold,Marigold,,,,,,,,,,,
mexicanaster,Mexican Aster,,,,,,,,,,,
mexicanpetunia,Mexican Petunia,,,,,,,,,,,
monkshood,Monkshood,"Also known as Helmet Flower, Friar’s Helmet,Wolfsbane, Wolf’s Bane, and so-named because its flowers resemble the cowls of monks' habits, Monkshood brings showy spikes of attractive purple-blue flowers to the shady parts of your garden.",Perennial,Moderately Difficult,"Propagate by seed, division or separation. Carefully prepare soil before planting, adding lots of organic matter. Plan where you want Monkshood carefully, because plants don't like to be transplanted and are slow to establish. (The roots are brittle.) Plant roots or divide plants in fall or spring. 
Sow seed outdoors in fall, early winter or early spring. Seed is slow to germinate, sometimes taking 1 to 2 years.
",,Blooms Late Summer to Early Fall,,They require full sun or partial shade.,They require well-drained soil and prefer soil that is kept moist but not soggy.,http://www.gardening.cornell.edu/homegardening/scene8d7a.html,"""Monkshood,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene8d7a.html. [Accessed: 11-Apr-2019]."
moonorchid,Moon Orchid,,,,,,,,,,,
morningglory,Morning Glory,Morning Glory is an old fashioned favorite prized for its quick growing climbing habits and deep-blue trumpet-shaped flowers. New varieties with different flower colors have added extra interest to this classic plant.,Annual,Easy,"Propagate by seed. Start seeds indoors 4 to 6 weeks before the last spring frost, or outdoors where desired after frost danger has passed. Before planting, nick the hard-coated seeds with a file or soak overnight in warm water.",,Early Summer to Ealy Fall,,They require full sun.,They require well-drained soil.,http://www.gardening.cornell.edu/homegardening/scene7b64.html,"“Morning Glory,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene7b64.html. [Accessed: 11-Apr-2019]."
orangedahlia,Orange Dahlia,,,,,,,,,,,
osteospermum,Osteospermum,"Also known as African Daisy, Cape Marigold, and perfect for adding banks of color to gardens or naturalistic settings, Osteospermum has substantial foliage and daisy-like flowers in shades of pink, purple, blue, or white. The flowers are prominent, 2 to 3 inches in diameter with dark-blue centers and an almost waxy appearance. Plants need good drainage and don't do well in high humidity.",Annual,Moderately Difficult,Propagate by seed. Start seeds indoors 6 to 8 weeks before the last spring frost.,,Blooms Mid Summer to Mid Fall,,They require full sun. ,"They require well-drained soil. They tolerate droughty soil and low fertility
",http://www.gardening.cornell.edu/homegardening/scene82d7.html,"“Osteospermum,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene82d7.html. [Accessed: 11-Apr-2019]."
oxeyedaisy,Oxeye Daisy,,,,,,,,,,,
passionflower,Passion Flower,,,,,,,,,,,
pelargonium,Pelargonium,,,,,,,,,,,
peruvianlily,Peruvian Lily,,,,,,,,,,,
petunia,Petunia,,,,,,,,,,,
pincushionflower,Pincushion Flower,"Also known as Sweet Scabiosa, Mourning Bride, this popular annual gets its common name of from its long, gray stamens that protrude like ""pins"" from the dense ""cushion"" of the flower. Flowers come in shades of red, white, yellow, pink, blue and purple.",Annual,Easy,"Propagate by seed. Sow indoors 4 to 6 weeks before the last spring frost, or outdoors after frost danger has passed.

",,Blooms Early Summer to Mid Fall,,They require full sun.,They require well-drained soil and perform best in slightly alkaline soils.,http://www.gardening.cornell.edu/homegardening/sceneb858.html,"“Pincushion Flower,” Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/sceneb858.html. [Accessed: 11-Apr-2019]."
pinkprimrose,Pink Primrose,,,,,,,,,,,
pinkyellowdahlia,Pink-yellow Dahlia,,,,,,,,,,,
poinsettia,Poinsettia,,,,,,,,,,,
primula,Primula,,,,,,,,,,,
princeofwalesfeathers,Prince of Wales Feathers,,,,,,,,,,,
purpleconeflower,Purple Coneflower,,,,,,,,,,,
redginger,Red Ginger,,,,,,,,,,,
rose,Rose,,,,,,,,,,,
rubylippedcattleya,Ruby-lipped Cattleya,,,,,,,,,,,
siamtulip,Siam Tulip,,,,,,,,,,,
silverbush,Silverbush,,,,,,,,,,,
snapdragon,Snapdragon,"Easy to grow from seed, snapdragons have spiked flowers that mingle well in the garden. Flowers may be classic (having two puffed petals that look like stacked berets) or azalea-flowered (fringed or ruffled). They often overwinter in protected areas up to Zone 5, and bloom best in cool weather well into fall.",Annual,Easy,"Propagate by seed. Start seeds indoors 6 to 8 weeks before the last spring frost. The seeds need light to germinate. Plants tolerate frost and grow best in cool weather, so you can transplant them outside before last frost date.",,blooms Mid Summer to Mid Fall,,They require full sun.,"They require well-drained soil and prefer light soil, high in organic matter.",http://www.gardening.cornell.edu/homegardening/scene95d7.html,"""Snapdragon,"" Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene95d7.html. [Accessed: 11-Apr-2019]."
spearthistle,Spear Thistle,,,,,,,,,,,
springcrocus,Spring Crocus,"Early-spring favorites, hybrid crocuses carpet the ground with blooms in shades of white, purple, yellow and orange.",Perennial,Easy,"Propagate by devision or separation. Divide in early fall.

Plant the corms 2"" below the surface of the ground.
When forcing these bulbs, do not move them into a warm location until the flower buds show some color. Moving them earlier may result in failure to flower.",,Early Spring,,They require full sun or partial shade.,They are best grown in well-drained soil.,http://www.gardening.cornell.edu/homegardening/scene0ab0.html,"""Crocus hybrids,"" Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene0ab0.html. [Accessed: 11-Apr-2019]."
stemlessgentian,Stemless Gentian,,,,,,,,,,,
sunflower,Sunflower,,,,,,,,,,,
sweetpea,Sweet Pea,,,,,,,,,,,
sweetwilliam,Sweet William,,,,,,,,,,,
swordlily,Sword Lily,,,,,,,,,,,
thornapple,Thornapple,,,,,,,,,,,
tigerlily,Tiger Lily,"Tiger lilies are herbaceous perennials that grow from bulbs and yield colorful, stately flowers in the summer. This flower's petals curve backward and are speckled with brown spots. Because of this so-called ""recurving"" (as well as the dark spots), they are reminiscent of the blooms of Turk's cap lilies (Lilium superbum). The plants' long style and six long stamens stick out from the bottom of the flower.",Perennial,,"Tiger lilies are an aggressively invasive species and will take over your garden if you let them. Propagate this plant by bulbil or by bulb division. Ideally, this should be done during the spring before it starts to grow anew, but you can divide them in the fall in warmer climates.

Bulb division requires digging up the entire plant carefully when it is dormant and gently separating the individual bulbs. Replant your bulbs as separate plants with the pointed side aimed upward.

Bulbils will form along the stem of the plant at leaf axils. If you wish to minimize spreading, remove the bulbils and dispose of them. Or, if you wish to propagate more, you can carefully remove the bulbils and pot them as if they were bulbs to grow a new plant. These will take an extra year of time before they begin to bloom, so it is a slower growth process.","Tiger lilies have just average water needs. After the plants are established, they are somewhat drought tolerant. They often thrive with existing rainfall.",Blooms Summer,"Tiger lilies are poisonous to cats. The most dangerous and potentially life-threatening flowers to cats are true lilies belonging to the Lilium genus and daylilies (Hemerocallis). Even small ingestion such as less than one to two petals or leaves, pollen, or water from the vase may result in severe, acute kidney failure. If you suspect your cat has ingested any part of one of these lilies, bring your cat (and the plant) immediately to a veterinarian for medical care. Generally, the sooner treatment is started, the better the prognosis.",They require full sun to partial shade.,They are best grown in moist to wet soil with slighlty acidic to neutral pH. ,https://www.thespruce.com/tiger-lily-profile-4125611,
toadlily,Toad Lily,"Toad lilies bring an exotic flair to any fall garden. While almost all other shade plants have finished blooming and are about to head to bed for the winter, toad lilies are just beginning to show off. Their flowers are beautiful, and the plants themselves have graceful arching habits along with often variegated or spotted foliage to accompany the dainty blooms.",Perennial,Easy,,,Blooms Fall/Summer,,They require shade or partial sun. ,"They are best grown in consistently moist, humusy, organic soil that can't dry out. Do not keep the soil soggy.","https://www.bhg.com/gardening/plant-dictionary/perennial/toad-lily/
https://www.gardeningknowhow.com/ornamental/bulbs/toad-lily/toad-lily-care.htm","C. Chaney, “How to Take Care of Dendromecon Tree Poppies,” Home Guides | SF Gate, 07-Oct-2016. [Online]. Available: https://homeguides.sfgate.com/care-dendromecon-tree-poppies-28566.html. [Accessed: 11-Apr-2019]."
treemallow,Tree Mallow,The tree mallow is a beautiful perennial that blooms generously for a long time,Perennial or Annual,Easy,Choose a sunny and wind-protected spot. Keep a planting distance of 32 inches (80 cm) to 3 feet (1 meter) between tree mallow plants in order for them to have the space they need to develop well.,They do not require a lot of water but water regularly so the roots can develop.,July to October,"When they get disease, rust, brown or tan blisters under the leaves and yellow spots on the top will appear.",They require full sun.,They are best grown in ordinary soil. In the summer water as soon as the soil is dry. Add flower plant fertilizer to soil.,https://www.nature-and-garden.com/gardening/tree-mallows-care-planting-watering.html,"“Tree mallow - planting, pruning and advice on caring for it,” Nature, 05-Sep-2018. [Online]. Available: https://www.nature-and-garden.com/gardening/tree-mallows-care-planting-watering.html. [Accessed: 11-Apr-2019]."
treepoppy,Tree Poppy,"California Tree Poppy (Dendromecon harfordii), also called Channel Island Tree Poppy, is a valuable drought-tolerant landscaping plant from California's chaparral plant community. It thrives in U.S. Department of Agriculture Plant Hardiness zones 8 through 10. It is closely related to the shorter bush poppy growing in coastal California mountain ranges, the Dendromecon rigida. Tree poppies grow to 20 feet tall and can be trained to grow as a multi-stemmed small tree. Bright yellow flowers occur in spring and early summer on thick-leaved evergreen bushes.",,Easy,"Plant in fall or early winter. Measure an area 20 feet by 20 feet for the plant to occupy. Dig a planting hole twice as deep and three times as wide as the container the tree poppy is growing in.
Let the top of the root be at the top of the hole. Backfill beneath and to the sides of the roots, removing air gaps. Use excess soil to make a watering basin around the planting hole. Mound up a rim of soil that encloses the entire planting hole. Tamp the soil berm firmly in place so water won't leak out. Water the plant thoroughly.

",Water them occasionally through hot/dry months for the first two years to establish the root system. Less frequent watering is required after. Perform deep watering and don't over water.,Spring/Early Summer,Do not fertilize tree poppy. Prune and remove dead parts. Do not prune older plants heavily. Withdraw watering as poppy becomes established.,They require full sun.,"Amend soil with decomposed granite, pumice or perlite to create good drainage and put in areas around the planting hole as well.",https://homeguides.sfgate.com/care-dendromecon-tree-poppies-28566.html,"C. Chaney, “How to Take Care of Dendromecon Tree Poppies,” Home Guides | SF Gate, 07-Oct-2016. [Online]. Available: https://homeguides.sfgate.com/care-dendromecon-tree-poppies-28566.html. [Accessed: 11-Apr-2019]."
trumpetcreeper,Trumpet Creeper,"Native to eastern North America as far north as Ohio and South Dakota, this vine is often cultivated for its attractive, reddish orange flowers and can escape cultivation, sometimes colonizing so densely it seems a nuisance, particularly in the southeast, where its invasive qualities have earned it the names Hellvine and Devils Shoestring. Its rapid colonization by suckers and layering makes it useful for erosion control, however, and its magnificent flowers never fail to attract Ruby-throated Hummingbirds within its range. Adapted to eastern forests, Trumpet creeper grows tall with support. It climbs by means of aerial rootlets, which, like English Ivy, can damage wood, stone, and brick.",Perennial,,Stratify 30-60 days at 41-50 degrees for seeds. ,"To keep lush during droughts, water them deeply on occasion. Mow to keep it from expanding beyond defined areas. Cut back branches to two buds in the winter to encourage bushier growth and more blooms.",Summer,The sap can cause skin irritaiton on contact.,They require full sun.,"They are best grown in various well-drained soils: Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Limestone-based, Caliche type, Dry, Moist.",https://www.wildflower.org/plants/result.php?id_plant=cara2,"“Plant Database,” Lady Bird Johnson Wildflower Center - The University of Texas at Austin. [Online]. Available: https://www.wildflower.org/plants/result.php?id_plant=cara2. [Accessed: 11-Apr-2019]."
wallflower,Wallflower,"When you say wallflowers, most people think of the spring-flowering bedding plants - Erysimum cheiri - previously called Cheiranthus cheiri. But there also numerous short-lived perennial types that flower for several months in spring and summer - and even well into autumn - such as the very popular ErysimumBowles Mauve.","Annual, Biennial, or Perennial",,,,Spring and Summer,,"They are best grown in full sun, but will tolerate light or dappled shade. ",,https://www.lovethegarden.com/plant-finder/annuals/wallflowers ,"“Wallflowers,” Love The Garden. [Online]. Available: https://www.lovethegarden.com/plant-finder/annuals/wallflowers. [Accessed: 11-Apr-2019]."
watercress,Watercress,"If you are a salad lover, as I am, it is more than likely that you are familiar with watercress. Because watercress thrives in clear, slow moving water, many gardeners refrain from planting it. The fact is that the plant is very adaptable and watercress cultivation can be attained in a number of different ways at home. ",Perennial,Difficult,"In the garden proper, you can dig out a 6-inch furrow, line it with 4-6 mil polyethylene and then fill with 2 inches of composted soil or peat moss. Of course, if you have a running stream on your property, watercress cultivation is about as simple as it gets.","Watercress can also be grown in consistently wet soil with a soil pH of 6.5-7.5 in full sun, or you can mimic natural conditions by growing watercress plants in a bucket or other container.","Flavor is best during cool months; once blossomed, the flavor is compromised",,"They require light shade, but will grow in sunny position if soil is kept wet.",Keep soil wet and permanently damp.,https://www.gardeningknowhow.com/edible/herbs/watercress/growing-watercress-in-gardens.htm,"“Care Of Watercress: Growing Watercress Plants In Gardens,” Gardening Know How. [Online]. Available: https://www.gardeningknowhow.com/edible/herbs/watercress/growing-watercress-in-gardens.htm. [Accessed: 11-Apr-2019]."
waterlily,Water Lily,"Water lily is a plant native to Europe and North America
It is also possible to grow water lily in pots, large water drums or garden boxes that don’t let water drain on a terrace or balcony.
Indeed, it is a very hardy and resilient plant, and stress is perhaps the only factor that can endanger your water lily.",Perennial,Easy,"Plant in the spring at the bottom of a body of water. 6 inches (15 cm) of water are enough for most species, although some may require a greater depth. Put some heavy clay soil in a pot/tray to keep plant at the bottom, plant the water lily in it. Spread rocks over the soil to keep it from floating back up. Once your basket is ready, immerse it in water. Ideally, let it rest about 24 inches (60 cm) deep. Once properly settled in, your water lily won’t need any follow-up and will simply bloom year after year without even needing to touch it.

There exist special baskets at horticulture stores, they help water circulate well without letting the soil disperse throughout the water basin.There are even specific soil mix preparations for aquatic plants.","They need a small body of water. They is no need to water! Simply check that there is always enough water in the pond (minimum about 4 inches/10cm).
",June to September,"Apart from ducks and the occasional muskrat that sometimes eat the rhizomes, only very few diseases have been seen to deplete the plant. If it starts to turn invasive, simply pull out excess rhizomes regularly.",They require full sun.,They are best grown in heavy soil with high levels of humus.,https://www.nature-and-garden.com/gardening/water-lilies.html,"“Water lily - growing it and advice on how to care for it,” Nature, 06-Sep-2018. [Online]. Available: https://www.nature-and-garden.com/gardening/water-lilies.html. [Accessed: 11-Apr-2019]."
wildpansy,Wild Pansy,"One of the earliest annual flowers to bloom in spring, Pansies sport brightly colored, face-like flowers in combinations of red, yellow, orange, blue, purple, pink, or white. They prefer cool weather, and often die back and need to be removed when hot weather arrives.",Annual,Moderately Difficult,"Propagate by seed. Start seeds indoors 10 to 12 weeks before the last spring frost. Lightly cover the seeds with soil, as they need light to germinate. After sowing, slightly moisten the potting mix and place the seed tray in the refrigerator for 2 weeks, then move to heated area.

Germination temperature: 65 F to 70 F

Days to emergence: 14 to 21",Keep the soil moist but not soggy.,Early Spring to Late Spring,"Watch for pests which include aphids, mealybug, spider mites, and parasitic nematodes.",They require full sun or partial shade.,"They prefer rich, moist but well-drained soil.",http://www.gardening.cornell.edu/homegardening/scenede13.html,"""Pansy,"" Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenede13.html. [Accessed: 11-Apr-2019]."
windflower,Windflower,"Short (6 inches or less) and delicate, Windflowers have fern-like foliage and bear dainty daisy-like blooms in a variety of colors in early spring.",Perennial,Easy,Propagate by division or separation. Divide the plant clumps in fall. Plants will also self-sow. Apply mulch in fall for winter protection.,,Early Spring,,They require full sun or part shade.,"They prefer rich, well-drained soil.",http://www.gardening.cornell.edu/homegardening/scene238d.html,"""Windflower,"" Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene238d.html. [Accessed: 11-Apr-2019]."
yellowiris,Yellow Iris,"At home in bog gardens and other soggy sites, this aggressive perennial has cheerful yellow blooms and stiff, erect dark green foliage.",Perennial,Easy,"Propagate by seed, division or separation. Divide in the spring or fall. Often self-sows. Deadhead after flowering to prevent self sowing. Divide in the spring or fall as needed.",They perform best when roots are submerged in water or at least receive constant moisture.,Blooms in Late Spring to Early Summer,They are aggressive. They will self-seed prolifically if not deadheaded.,They require full sun.,They require damp soil but tolerate poor drainage.,http://www.gardening.cornell.edu/homegardening/scene8f3c.html,"""Iris, Yellow Flag,"" Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene8f3c.html. [Accessed: 11-Apr-2019]."